team,round,annee,forme_recent_norm_equipe,performance_norm_equipe,preference_circuit_norm_equipe,forme_brute_equipe,performance_brute_equipe,pref_circuit_brute_equipe
ferrari,6,2022,0.8598881713547667,0.9840539724800602,0.0,243.96730000000002,206.99167984636534,0.0
mercedes,6,2022,0.58051570598675,0.9420844055899558,0.0,164.70380000000003,198.35426137185686,0.0
sauber,6,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,6,2022,0.05989712385226587,0.06318256717339216,0.0,16.994,17.474554028281933,0.0
aston_martin,6,2022,0.048784399255713616,0.11095368198771645,0.0,13.8411,27.305942346525384,0.0
rb,6,2022,0.0,0.04698216082987912,0.0,0.0,14.140478901597787,0.0
williams,6,2022,0.026089825242982378,0.035309305666587985,0.0,7.4022000000000014,11.738182611486572,0.0
alpine,6,2022,0.1408586922726547,0.20763107339636916,0.0,39.9644,47.20233748462411,0.0
red_bull,7,2022,0.9999999999970923,0.9999999999959969,0.0,343.91440000000006,254.27340331552637,0.0
mclaren,7,2022,0.1924153219516472,0.27086809316229654,0.0,66.1744,72.13483521402244,0.0
ferrari,7,2022,0.5469215595492747,0.8587612136280685,0.0,188.09420000000003,218.99167984636534,0.0
mercedes,7,2022,0.5156181305565698,0.8762253752252236,0.0,177.32850000000002,223.35426137185686,0.0
sauber,7,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,7,2022,0.015643427550531053,0.05205361875172204,0.0,5.380000000000001,17.474554028281933,0.0
aston_martin,7,2022,0.03095828496849519,0.09141035129893604,0.0,10.647000000000002,27.305942346525384,0.0
rb,7,2022,0.0,0.03870674455596542,0.0,0.0,14.140478901597787,0.0
williams,7,2022,0.01655644544102673,0.02908994075078688,0.0,5.694,11.738182611486572,0.0
alpine,7,2022,0.13793199703141848,0.20308440250533916,0.0,47.436800000000005,55.20233748462411,0.0
red_bull,8,2022,0.9999999999971456,0.9999999999965494,0.0,350.33200000000005,294.27340331552637,0.0
mclaren,8,2022,0.20549906945353122,0.26453713589472844,0.0,71.9929,81.13483521402244,0.0
ferrari,8,2022,0.5829241976165954,0.8437494146110092,0.0,204.21700000000004,248.99167984636534,0.0
mercedes,8,2022,0.4793464485103292,0.8035929605339722,0.0,167.93040000000002,237.35426137185686,0.0
sauber,8,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,8,2022,0.0074215315757412345,0.044868902465972416,0.0,2.6,17.474554028281933,0.0
aston_martin,8,2022,0.03153037689953663,0.08224404271248383,0.0,11.0461,28.305942346525384,0.0
rb,8,2022,0.0,0.033364234570136715,0.0,0.0,14.140478901597787,0.0
williams,8,2022,0.012502426269902544,0.025074792984393482,0.0,4.380000000000001,11.738182611486572,0.0
alpine,8,2022,0.13550746149328205,0.19575741198392066,0.0,47.4726,61.20233748462411,0.0
red_bull,9,2022,0.9999999999973774,0.9999999999970043,0.0,381.3084,338.27340331552637,0.0
mclaren,9,2022,0.15386390648578982,0.24764198572315566,0.0,58.6696,87.13483521402244,0.0
ferrari,9,2022,0.35952525567136856,0.7325308466606848,0.0,137.09,248.99167984636534,0.0
mercedes,9,2022,0.4865423893087944,0.7785538905046212,0.0,185.52270000000004,264.35426137185686,0.0
sauber,9,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,9,2022,0.005245098193469524,0.03895452197414254,0.0,2.0,17.474554028281933,0.0
aston_martin,9,2022,0.08220589947642852,0.09536937704095594,0.0,31.345800000000004,36.305942346525384,0.0
rb,9,2022,0.0,0.02896633831635377,0.0,0.0,14.140478901597787,0.0
williams,9,2022,0.006818627651510383,0.02176956690769062,0.0,2.6,11.738182611486572,0.0
alpine,9,2022,0.13609639861032147,0.19092422825319508,0.0,51.8947,68.20233748462411,0.0
red_bull,10,2022,0.9999999999969778,0.999999999997213,0.0,330.87050000000005,363.27340331552637,0.0
mclaren,10,2022,0.1015261257800211,0.23038720285892156,0.0,33.592,87.13483521402244,0.0
ferrari,10,2022,0.5504476827019924,0.762315325251781,0.0,182.12690000000003,277.99167984636534,0.0
mercedes,10,2022,0.6364837602607772,0.7995575468491702,0.0,210.5937,291.35426137185686,0.0
sauber,10,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,10,2022,0.0,0.03624031413785392,0.0,0.0,17.474554028281933,0.0
aston_martin,10,2022,0.0698826277952556,0.09151144246907907,0.0,23.122100000000003,37.305942346525384,0.0
rb,10,2022,0.0,0.026948070385893162,0.0,0.0,14.140478901597787,0.0
williams,10,2022,0.006044660977614974,0.020252743542929923,0.0,2.0,11.738182611486572,0.0
alpine,10,2022,0.2069691918735367,0.20549185915442783,0.0,68.48,78.20233748462411,0.0
red_bull,11,2022,0.9999999999965967,0.9999999999973878,0.0,293.83140000000003,387.27340331552637,0.0
mclaren,11,2022,0.16570318897107084,0.23684147292490204,0.0,48.68880000000001,95.13483521402244,0.0
ferrari,11,2022,0.7500515601778774,0.8111772301198432,0.0,220.38870000000003,314.99167984636534,0.0
mercedes,11,2022,0.6597205063833895,0.7912258725448416,0.0,193.84660000000002,307.35426137185686,0.0
sauber,11,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,11,2022,0.048601000437500555,0.04702979031572416,0.0,14.280500000000004,22.474554028281933,0.0
aston_martin,11,2022,0.07735456455614563,0.09099871095845385,0.0,22.729200000000006,39.305942346525384,0.0
rb,11,2022,0.0,0.025258544774526576,0.0,0.0,14.140478901597787,0.0
williams,11,2022,0.0,0.018982985507336708,0.0,0.0,11.738182611486572,0.0
alpine,11,2022,0.26600628795878856,0.21873159174597206,0.0,78.161,88.20233748462411,0.0
red_bull,12,2022,0.9999999999959424,0.9999999999975112,0.0,246.44390000000004,406.27340331552637,0.0
mclaren,12,2022,0.23220213606328985,0.24555226206518763,0.0,57.22480000000001,103.13483521402244,0.0
ferrari,12,2022,0.9401794891212961,0.8350388185459312,0.0,231.7015,339.99167984636534,0.0
mercedes,12,2022,0.8399343623403138,0.8210084771000791,0.0,206.99670000000003,334.35426137185686,0.0
sauber,12,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
