circuit,pilote,team,round,annee,forme_recent_norm,performance_norm,pref_circuit_norm,forme_brute,performance_brute,pref_circuit_brute,experience,is_rookie,best_recent_pts,avg_recent_pts,is_wet,wet_avg_pts,wet_race_count,pts_sur_le_weekend,position_reelle,forme_recent_norm_equipe,performance_norm_equipe,preference_circuit_norm_equipe,forme_brute_equipe,performance_brute_equipe,pref_circuit_brute_equipe
Australian Grand Prix,russell,mercedes,3,2022,0.493096646933075,0.1538367261313618,0.0,25.0,23.2984661795106,0.0,62,0,15.0,12.333333333333334,0,12.333333333333334,0,15.0,3,0.4682539682486591,0.9999999999926944,0.0,41.3,141.35426137185686,0.0
Australian Grand Prix,hamilton,mercedes,3,2022,0.3214990138003649,0.9999999999933972,0.0,16.3,151.44931100173116,0.0,238,0,15.0,9.333333333333334,0,9.333333333333334,0,12.0,4,0.4682539682486591,0.9999999999926944,0.0,41.3,141.35426137185686,0.0
Australian Grand Prix,norris,mclaren,3,2022,0.1538461538431194,0.1371833223309888,0.0,7.800000000000001,20.776319648093843,0.0,62,0,10.0,5.333333333333333,0,5.333333333333333,0,10.0,5,0.0884353741486572,0.2240118977756988,0.0,7.800000000000001,35.134835214022445,0.0
Australian Grand Prix,ricciardo,mclaren,3,2022,0.0,0.3092393791626187,0.0,0.0,46.83409090909093,0.0,212,0,8.0,2.6666666666666665,0,2.6666666666666665,0,8.0,6,0.0884353741486572,0.2240118977756988,0.0,7.800000000000001,35.134835214022445,0.0
Australian Grand Prix,ocon,alpine,3,2022,0.3234714003880972,0.1715577697599263,0.0,16.4,25.982306027306027,0.0,91,0,8.0,6.666666666666667,0,6.666666666666667,0,6.0,7,0.2086167800429861,0.2391160761856778,0.0,18.4,37.20233748462411,0.0
Australian Grand Prix,bottas,sauber,3,2022,0.157790927018584,0.5109143498264637,0.0,8.0,77.37762626262628,0.0,181,0,8.0,4.0,0,4.0,0,4.0,8,0.0,0.0,0.0,0.0,4.47145884744978,0.0
Australian Grand Prix,gasly,rb,3,2022,0.1025641025620796,0.1213307239484448,0.0,5.2,18.37545454545455,0.0,88,0,4.0,2.0,0,2.0,0,2.0,9,0.0,0.0706372157477804,0.0,0.0,14.140478901597788,0.0
Australian Grand Prix,albon,williams,3,2022,0.0,0.0589666237919926,0.0,0.0,8.930454545454543,0.0,40,0,1.0,0.3333333333333333,0,0.3333333333333333,0,1.0,10,0.0,0.0311706341871897,0.0,0.0,8.738182611486572,0.0
Australian Grand Prix,zhou,sauber,3,2022,0.019723865877323,0.0132057385191005,0.0,1.0,2.0,0.0,2,1,1.0,0.3333333333333333,0,0.3333333333333333,0,0.0,11,0.0,0.0,0.0,0.0,4.47145884744978,0.0
Australian Grand Prix,stroll,aston_martin,3,2022,0.0,0.0519075562926916,0.0,0.0,7.861363636363634,0.0,102,0,0.0,0.0,0,0.0,0,0.0,12,0.0,0.1229846495577917,0.0,0.0,21.305942346525384,0.0
Australian Grand Prix,mick_schumacher,haas,3,2022,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0.0,0.0,0,0.0,0,0.0,13,0.1428571428555231,0.0803833277652965,0.0,12.6,15.474554028281933,0.0
Australian Grand Prix,kevin_magnussen,haas,3,2022,0.2485207100542698,0.1172395974268916,0.0,12.6,17.755856252540305,0.0,122,0,10.0,4.0,0,4.0,0,0.0,14,0.1428571428555231,0.0803833277652965,0.0,12.6,15.474554028281933,0.0
Australian Grand Prix,tsunoda,rb,3,2022,0.078895463509292,0.0381243929420988,0.0,4.0,5.773913043478261,0.0,24,0,4.0,1.3333333333333333,0,1.3333333333333333,0,0.0,15,0.0,0.0706372157477804,0.0,0.0,14.140478901597788,0.0
